Date;Open;High;Low;Close;Buy
8/22/2022;332000000;332000000;316000000;320000000;No
8/23/2022;322000000;336000000;322000000;326000000;Yes
8/24/2022;330000000;334000000;324000000;328000000;No
8/25/2022;328000000;332000000;320000000;326000000;No
8/26/2022;326000000;330000000;318000000;318000000;No
8/29/2022;302000000;320000000;300000000;320000000;Yes
8/30/2022;320000000;334000000;314000000;324000000;Yes
8/31/2022;316000000;316000000;302000000;302000000;No
09/01/2022;300000000;300000000;288000000;290000000;No
09/02/2022;292000000;298000000;284000000;284000000;No
09/05/2022;284000000;292000000;280000000;282000000;No
09/06/2022;286000000;290000000;282000000;282000000;No
09/07/2022;282000000;294000000;280000000;282000000;No
09/08/2022;286000000;292000000;284000000;286000000;No
09/09/2022;288000000;290000000;278000000;282000000;No
09/12/2022;284000000;286000000;276000000;278000000;No
9/13/2022;280000000;284000000;276000000;276000000;No
9/14/2022;272000000;278000000;268000000;272000000;No
9/15/2022;274000000;276000000;266000000;266000000;No
9/16/2022;266000000;266000000;248000000;248000000;No
9/19/2022;248000000;248000000;234000000;242000000;No
9/20/2022;244000000;268000000;244000000;266000000;Yes
9/21/2022;268000000;272000000;256000000;264000000;No
9/22/2022;260000000;264000000;256000000;264000000;Yes
9/23/2022;264000000;266000000;260000000;264000000;No
9/26/2022;258000000;260000000;248000000;256000000;No
9/27/2022;256000000;258000000;250000000;252000000;No
9/28/2022;252000000;266000000;244000000;258000000;Yes
9/29/2022;262000000;264000000;248000000;250000000;No
9/30/2022;250000000;254000000;240000000;246000000;No
10/03/2022;244000000;246000000;236000000;238000000;No
10/04/2022;240000000;244000000;236000000;238000000;No
10/05/2022;240000000;244000000;236000000;242000000;Yes
10/06/2022;246000000;254000000;244000000;246000000;No
10/07/2022;246000000;254000000;240000000;244000000;No
10/10/2022;240000000;244000000;238000000;242000000;Yes
10/11/2022;244000000;244000000;228000000;228000000;No
10/12/2022;226000000;230000000;216000000;218000000;No
10/13/2022;218000000;226000000;212000000;212000000;No
10/14/2022;218000000;220000000;202000000;202000000;No
10/17/2022;202000000;220000000;200000000;208000000;Yes
10/18/2022;212000000;216000000;204000000;206000000;No
10/19/2022;208000000;210000000;202000000;204000000;No
10/20/2022;204000000;216000000;202000000;206000000;Yes
10/21/2022;208000000;212000000;200000000;200000000;No
10/24/2022;202000000;204000000;190000000;190000000;No
10/25/2022;190000000;196000000;183000000;193000000;Yes
10/26/2022;194000000;204000000;194000000;197000000;Yes
10/27/2022;199000000;202000000;193000000;198000000;No
10/28/2022;199000000;200000000;189000000;189000000;No
10/31/2022;192000000;193000000;186000000;186000000;No
11/01/2022;187000000;190000000;183000000;184000000;No
11/02/2022;185000000;195000000;184000000;195000000;Yes
11/03/2022;195000000;206000000;190000000;200000000;Yes
11/04/2022;204000000;208000000;198000000;200000000;No
11/07/2022;202000000;204000000;191000000;197000000;No
11/08/2022;197000000;199000000;194000000;194000000;No
11/09/2022;195000000;202000000;194000000;199000000;Yes
11/10/2022;198000000;202000000;186000000;188000000;No
11/11/2022;198000000;214000000;192000000;210000000;Yes
11/14/2022;210000000;214000000;202000000;204000000;No
11/15/2022;206000000;208000000;200000000;204000000;No
11/16/2022;212000000;218000000;202000000;218000000;Yes
11/17/2022;218000000;218000000;210000000;214000000;No
11/18/2022;216000000;226000000;212000000;222000000;Yes
11/21/2022;220000000;220000000;210000000;210000000;No
11/22/2022;210000000;210000000;196000000;196000000;No
11/23/2022;192000000;198000000;190000000;191000000;No
11/24/2022;193000000;195000000;188000000;188000000;No
11/25/2022;189000000;191000000;183000000;185000000;No
11/28/2022;185000000;189000000;173000000;173000000;No
11/29/2022;173000000;173000000;161000000;162000000;No
11/30/2022;159000000;170000000;151000000;151000000;No
12/01/2022;141000000;141000000;141000000;141000000;No
12/02/2022;132000000;132000000;132000000;132000000;No
12/05/2022;123000000;123000000;123000000;123000000;No
12/06/2022;115000000;115000000;115000000;115000000;No
12/07/2022;107000000;107000000;107000000;107000000;No
12/08/2022;100000000;100000000;100000000;100000000;No
12/09/2022;93000000;93000000;93000000;93000000;No
12/12/2022;87000000;87000000;87000000;87000000;No
12/13/2022;81000000;108000000;81000000;100000000;Yes
12/14/2022;102000000;104000000;93000000;94000000;No
12/15/2022;94000000;97000000;90000000;97000000;Yes
